# https://store.tmotor.com/product/mn1010-kv90-motor-navigator-type.html
# Type: MN1010 KV90
# Propeller: G34*11.5
# Battery: 12S

RPM,Thrust [g],Torque [Nm],Thrust,Torque,Moment Constant [m]
1535,3228,1.27,31.6558662,1.27,0.040118946
1719,4074,1.59,39.9522921,1.59,0.039797466
1887,4889,1.91,47.94471185,1.91,0.039837553
2047,5824,2.27,57.1139296,2.27,0.03974512
2190,6707,2.61,65.77320155,2.61,0.039681815
2328,7631,2.97,74.83454615,2.97,0.039687553
2469,8645,3.36,84.77848925,3.36,0.039632695
2617,9800,3.79,96.10517,3.79,0.039435964
2766,11026,4.28,108.1281229,4.28,0.039582672
3059,13783,5.34,135.165057,5.34,0.039507252
3316,16341,6.38,160.2504677,6.38,0.039812676
